names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Sweeney Todd: The Demon Barber of Fleet Street,01/24/2008 ,72.0,"Drama, Horror","The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.","Johnny Depp, Sweeney Todd, Helena Bonham Carter, Mrs. Lovett, Alan Rickman, Judge Turpin, Timothy Spall, Beadle, Sacha Baron Cohen, Pirelli, Laura Michelle Kelly, Lucy Barker, Jamie Campbell Bower, Anthony Hope, Jayne Wisener, Johanna Barker, Ed Sanders, Toby Ragg",Sweeney Todd: The Demon Barber of Fleet Street, Released, English,50000000.0,152000000.0,AU
Female Teacher: Dirty Afternoon,01/23/1981 ,50.0,Drama,"A teacher, Sakiko Kurata, receives a phone call regarding one of her former students. Young Sueko is accused of being a prostitute and has requested Sakiko’s help. This minx seduces random strangers for sex, but does not ask for payment. Sakiko has moved to another town and barely remembers Sueko, but there’s something about her that awakens painful memories of her own secretive past. What is that strange paint thinner smell on Sueko? Who is the man in the nylon ski mask that violently assaulted Sakiko many years ago? In her search for answers, Sakiko discovers that her past may have inadvertently destroyed another family’s future.","Yuki Kazamatsuri, Sakiko Kurata, Eri Kanuma, Motoko Nomoto, Ayako Ota, Sueko Nomoto, Noboru Mitani, Suekichi Nomoto, Hiroko Fuji, Sachi Nomoto, Tatsuya Hamaguchi, Itô, Akira Hanagami, , Hidetoshi Kageyama, Endô, Ichiro Kijima, Sugihara", 女教師 汚れた放課後, Released, Japanese,151600000.0,665194474.0,JP
Rise of the Mummy,04/03/2021 ,54.0,"Horror, Science Fiction","A group of archaeology students awaken an ancient mummy. After being trapped in a time loop, the only way they can escape, is to defeat the mummy. As the body count rises, it seems the Mummy has to collect the souls of those who woke him to be able to walk the earth - for good.","Abi Casson Thompson, Holly, Arthur Boan, Mark, Amanda-Jade Tyler, Martha, Stephanie Lodge, Grace, Megan Purvis, Jessie, Mya Brown, Kira, Barbara Dabson, Lyne, Antonia Johnstone, Mora, Zuza Tehanu, Tracy",Rise of the Mummy, Released, English,108800000.0,348600148.4,US
Lola's Secret,05/04/1984 ,38.0,"Drama, Comedy",Young man has his dreams come true when the sexy new maid seduces him. But she also has a secret that leads to trouble.,"Donatella Damiani, Lola, Scott Coffey, Albert, Gabriele Tinti, Angus, Peter Boom, Simmons, Jacques Stany, Tim, Maurice Poli, Compratore della collana, Sandra Mantegna, Madre di Alberto", Il peccato di Lola, Released, Italian,51270000.0,365099318.6,IT
Taxi,11/11/2004 ,56.0,"Action, Comedy, Thriller, Crime",A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.,"Queen Latifah, Isabelle 'Belle' Williams, Jimmy Fallon, Andrew 'Andy' Washburn, Gisele Bündchen, Vanessa, Henry Simmons, Jesse, Jennifer Esposito, Lt. Marta Robbins, Ann-Margret, Mrs. Washburn, Christian Kane, Agent Mullins, Ana Cristina Oliveira, Redhead, Patton Oswalt, Clerk at Inpound Office",Taxi, Released, English,25000000.0,71255003.0,AU
City Under Siege,08/12/2010 ,49.0,"Science Fiction, Action, Thriller","Sunny is a naïve circus performer who dreams of inheriting his father's knife-throwing skills. However, his hostile colleagues continue to bully him, relegating him to a lowly clown. On a tour to Malaysia, Cheung and other performers discover a cave occupied by the Japanese army during World War II. Instead of finding treasure, the performers - including Sunny - are sprayed with a mysterious chemical that turns them into superhuman mutants...","Aaron Kwok, Sunny Li Fei, Shu Qi, Angel Chan, Wu Jing, Sun Hao, Zhang Jingchu, Cheng Xiuhua, Yuen Wah, Uncle Da / Tak, Collin Chou, Zhang Dachu, Tie Nan, Liu Zhenxing, Karen Cheung Bo-Man, Yao Li, Gao Yan-Chao, He Jun", 全城戒備, Released, Cantonese,17000000.0,13851432.0,HK
The Colony,08/01/2014 ,54.0,"Action, Science Fiction, Thriller","Forced underground by the next ice age, a struggling outpost of survivors must fight to preserve humanity against a threat even more savage than nature.","Kevin Zegers, Sam, Laurence Fishburne, Briggs, Bill Paxton, Mason, Charlotte Sullivan, Kai, John Tench, Viktor, Atticus Mitchell, Graydon, Dru Viergever, Feral Leader, Romano Orzari, Reynolds, Earl Pastko, Scientist",The Colony, Released, English,16000000.0,3796077.0,AU
Detective Conan: Black Iron Submarine,04/14/2023 ,0.0,"Animation, Action, Crime, Mystery",The 26th movie entry in the “Detective Conan” franchise.,"Minami Takayama, Conan Edogawa (voice), Wakana Yamazaki, Ran Mouri (voice), Rikiya Koyama, Kogoro Mouri (voice), Megumi Hayashibara, Ai Haibara (voice), Shuichi Ikeda, Shuichi Akai (voice), Kazuhiko Inoue, Ninzaburo Shiratori (voice), Kenichi Ogata, Hiroshi Agasa (voice), Atsuko Yuya, Miwako Sato (voice), Yukimasa Kishino, Hyoe Kuroda (voice)", 名探偵コナン 黒鉄の魚影（サブマリン）, In Production, Japanese,231940000.0,175269998.8,JP
The NeverEnding Story II: The Next Chapter,12/20/1990 ,57.0,"Drama, Family, Fantasy, Adventure","Once again, Bastian is transported to the world of Fantasia which he recently managed to save from destruction. However, the land is now being destroyed by an evil sorceress, Xayide, so he must join up with Atreyu and face the Emptiness once more.","Jonathan Brandis, Bastian Bux, Kenny Morrison, Atreyu, Clarissa Burt, Xayide, John Wesley Shipp, Barney, Martin Umbach, Nimbly, Alexandra Johnes, kindliche Kaiserin, Thomas Hill, Koreander, Helena Michell, Bastians Mutter, Christopher Burton, Tri Face",The NeverEnding Story II: The Next Chapter, Released, English,32000000.0,16283667.0,AU
The Pelican Brief,03/09/1994 ,66.0,"Mystery, Drama, Thriller, Crime, Action","A law student's theory about the recent deaths of two Supreme Court justices embroils her in a far-reaching web of murder, corruption, and greed.","Julia Roberts, Darby Shaw, Denzel Washington, Gray Grantham, Sam Shepard, Thomas Callahan, John Heard, Gavin Vereek, Tony Goldwyn, Fletcher Cole, James B. Sikking, FBI Director Denton Voyles, William Atherton, Bob Gminski, Robert Culp, The President, Stanley Tucci, Khamel",The Pelican Brief, Released, English,45000000.0,187995859.0,AU
Mr. Nobody,02/24/2014 ,78.0,"Science Fiction, Drama, Romance, Fantasy","Nemo Nobody leads an ordinary existence with his wife and 3 children; one day, he wakes up as a mortal centenarian in the year 2092.","Jared Leto, Nemo Nobody (old & adult), Sarah Polley, Adult Elise, Diane Kruger, Adult Anna, Linh-Dan Pham, Adult Jean, Rhys Ifans, Nemo's Father, Natasha Little, Nemo's Mother, Toby Regbo, Nemo age 16, Juno Temple, Anna age 15, Allan Corduner, Dr. Feldheim",Mr. Nobody, Released, English,46500000.0,22254.0,AU
The Little Rascals,12/26/1994 ,68.0,"Romance, Comedy, Family","When nine-year-old Alfalfa falls for Darla, his ""He-Man-Woman-Hating"" friends attempt to sabotage their relationship.","Travis Tedford, Spanky, Kevin Jamal Woods, Stymie, Jordan Warkol, Froggy, Zachary Mabry, Porky, Ross Bagley, Buckwheat, Courtland Mead, Uh-Huh, Sam Saletta, Butch, Blake Jeremy Collins, Woim, Blake McIver Ewing, Waldo",The Little Rascals, Released, English,53004639.8,67308282.0,AU
Matando el tiempo,11/30/2022 ,60.0,Horror,"Sonia wanders around the gloomy mansion where she lives, obsessed with unraveling a dark hidden secret. Her past, her fears, her desire and her terrible nightmares have created a deadly web in which she is trapped, taking her away the little sanity she had left. Sometimes killing time is not such a harmless thing.","Marta Almodóvar, Sonia, Alba Fontecha, Natalia, Claudia Molina, Laura, Jorge Páez, Daniel, Cristina Presa, Silvia, Miguel Ángel Aijón, , Alexandra Chiscan, , Adrián Labrador, , Carla Moro, ",Matando el tiempo, Released," Spanish, Castilian",100000.0,99000630.0,ES
To All the Boys: P.S. I Still Love You,02/12/2020 ,69.0,"Romance, Comedy",Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,"Lana Condor, Lara Jean Song Covey, Noah Centineo, Peter Kavinsky, Jordan Fisher, John Ambrose McClaren, Anna Cathcart, Katherine ""Kitty"" Song Covey, John Corbett, Daniel Covey, Sarayu Blue, Trina Rothschild, Janel Parrish, Margot Song Covey, Ross Butler, Trevor Pike, Madeleine Arthur, Christine",To All the Boys: P.S. I Still Love You, Released, English,143600000.0,309828687.0,AU
Rosaline,10/11/2022 ,73.0,"Comedy, Romance","Left heartbroken after Romeo begins to pursue her cousin Juliet, Rosaline schemes to foil the famous romance and win back her guy in this comedic twist of Shakespeare's Romeo and Juliet.","Kaitlyn Dever, Rosaline Capulet, Sean Teale, Dario Penza, Isabela Merced, Juliet Capulet, Kyle Allen, Romeo Montague, Minnie Driver, Nurse Janet, Bradley Whitford, Adrian Capulet, Henry Hunter Hall, Mercutio, Spencer Rayshon Stevenson, Paris, Nico Hiraga, Steve the Courier",Rosaline, Released, English,110800000.0,327683157.2,US
The Queen's Corgi,12/12/2019 ,60.0,"Family, Animation","Since his arrival at Buckingham palace, Rex lives a life of luxury. Top dog, he has superseded his three fellow Corgis in Her Majesty’s heart. His arrogance can be quite irritating. When he causes a diplomatic incident during an official dinner with the President of the United States, he falls into disgrace. Betrayed by one of his peers, Rex becomes a stray dog in the streets of London. How can he redeem himself? In love, he will find the resources to surpass himself in the face of great danger…","Rusty Shackleford, Jack (voice), Jo Wyatt, Wanda (voice), Mari Devon, Queen (voice), Dino Andrade, Charlie / Pollux (voice), Joey Camen, Chihuahua / Sanjay / Al Sation / Tyson (voice), Leo Barakat, Rex (voice), Nicole Moorea Sherman, Little Girl (voice), Kirk Thornton, Trump (voice), Madison Brown, Mitzi (voice)",The Queen's Corgi, Released, English,23060000.2,35515687.0,AU
The Aeronauts,12/06/2019 ,68.0,"Adventure, Drama, Romance","In 1862, daredevil balloon pilot Amelia Wren teams up with pioneering meteorologist James Glaisher to advance human knowledge of the weather and fly higher than anyone in history. While breaking records and advancing scientific discovery, their voyage to the very edge of existence helps the unlikely pair find their place in the world they have left far below them. But they face physical and emotional challenges in the thin air, as the ascent becomes a fight for survival.","Eddie Redmayne, James Glaisher, Felicity Jones, Amelia Wren, Tom Courtenay, Arthur Glaisher, Phoebe Fox, Antonia, Himesh Patel, John Trew, Rebecca Front, Aunt Frances, Robert Glenister, Ned Chambers, Vincent Perez, Pierre Rennes, Anne Reid, Ethel Glaisher",The Aeronauts, Released, English,80000000.0,6628721.0,US
Pet Sematary II,08/28/1992 ,53.0,Horror,"The ""sematary"" is up to its old zombie-raising tricks again. This time, the protagonists are Jeff Matthews, whose mother died in a Hollywood stage accident, and Drew Gilbert, a boy coping with an abusive stepfather.","Edward Furlong, Jeff Matthews, Anthony Edwards, Chase Matthews, Clancy Brown, Sheriff Gus Gilbert, Jared Rushton, Clyde Parker, Sarah Trigger, Marjorie Hargrove, Lisa Waltz, Amanda Gilbert, Darlanne Fluegel, Renee Hallow, Jason McGuire, Drew Gilbert, Jim Peck, Quentin Yolander",Pet Sematary II, Released, English,8000000.0,17092453.0,US
What's Eating Gilbert Grape,06/26/1994 ,77.0,"Romance, Drama","Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she can't leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongoing affair with local woman Betty Carver, Gilbert finally has his life shaken up by the free-spirited Becky.","Johnny Depp, Gilbert Grape, Leonardo DiCaprio, Arnie Grape, Juliette Lewis, Becky, Mary Steenburgen, Betty Carver, Darlene Cates, Bonnie Grape, Laura Harrington, Amy Grape, Mary Kate Schellhardt, Ellen Grape, Kevin Tighe, Ken Carver, John C. Reilly, Tucker Van Dyke",What's Eating Gilbert Grape, Released, English,11000000.0,9170214.0,AU
Heaven in Hell,02/10/2023 ,16.0,"Drama, Romance","Olga and Maks are 15 years away. She is a successful woman with an established position, the mother of an adult daughter, he is a handsome young man who enjoys his life in a handful and lives only in the moment. It might seem that these two different worlds will never meet, and yet fate put them in the way.","Magdalena Boczarska, Olga, Simone Susinna, Maks, Sebastian Fabijański, , Katarzyna Sawczuk, , Janusz Chabior, , Katarzyna Kwiatkowska, ",Heaven in Hell, Released, Polish,81000040.0,169299022.4,PL
The Peanuts Movie,12/25/2015 ,69.0,"Comedy, Animation, Family","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest.","Noah Schnapp, Charlie Brown (voice), Bill Melendez, Snoopy / Woodstock (voice), Marleik 'Mar Mar' Walker, Franklin Armstrong (voice), Alex Garfin, Linus (voice), Hadley Belle Miller, Lucy van Pelt (voice), Rebecca Bloom, Marcie (voice), Anastasia Bredikhina, Patty (voice), Venus Schultheis, Peppermint Patty (voice), A.J. Tecce, Pigpen (voice)",The Peanuts Movie, Released, English,99000000.0,250091610.0,AU
Licence to Kill,08/15/1989 ,63.0,"Adventure, Action, Thriller","After capturing the notorious drug lord Franz Sanchez, Bond's close friend and former CIA agent Felix Leiter is left for dead and his wife is murdered. Bond goes rogue and seeks vengeance on those responsible, as he infiltrates Sanchez's organization from the inside.","Timothy Dalton, James Bond, Carey Lowell, Pam Bouvier, Robert Davi, Franz Sanchez, Talisa Soto, Lupe Lamora, Anthony Zerbe, Milton Krest, Frank McRae, Sharkey, Everett McGill, Killifer, Wayne Newton, Professor Joe Butcher, Benicio del Toro, Dario",Licence to Kill, Released, English,42000000.0,156167015.0,AU
Altered Carbon: Resleeved,03/19/2020 ,65.0,"Animation, Science Fiction","On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC.","Tatsuhisa Suzuki, Ken (Takeshi Kovacs) (voice), Rina Sato, Gina (Leilin Kawahara) (voice), Ayaka Asai, Holly Togram (voice), Kenji Yamauchi, Hideki Tanaseda (voice), Kanehira Yamamoto, Shinji (voice), Koji Ishii, Genzō (voice), Jouji Nakata, Ogai (voice), Kaori Nakamura, Holly's Mom (voice), Kazumasa Nakamura, Holly's Dad (voice)", オルタード・カーボン：リスリーブド, Released, Japanese,77200000.0,339156011.4,JP
Chang Can Dunk,03/10/2023 ,72.0,"Family, Comedy, Drama","Chang, a 16-year-old, Asian American, bets the high school basketball star that he can dunk by Homecoming. The bet leads 5' 8"" Chang on a quest to learn to dunk—not only to impress his crush, Kristy, but to gain the respect of his high school peers too. But before he can rise up and truly throw one down, he'll have to reexamine everything he knows about himself, his friendships and his family.","Bloom Li, Chang, Dexter Darden, DeAndre, Ben Wang, Bo, Zoe Renee, Kristy, Chase Liefeld, Matt, Mardy Ma, Chen, Alexandre Chen, Li Chang, Nile Bullock, Owen, Cathy Salvodon, Principle Elliot",Chang Can Dunk, Released, English,111000000.0,512397898.8,AU
Fresh,03/04/2022 ,70.0,"Horror, Thriller, Comedy","Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.","Daisy Edgar-Jones, Noa, Sebastian Stan, Steve, Jojo T. Gibbs, Mollie, Andrea Bang, Penny, Dayo Okeniyi, Paul, Charlotte Le Bon, Ann, Brett Dier, Chad, Alina Maris, Melissa, William Belleau, Man",Fresh, Released, English,125000000.0,515036018.8,AU
The Marine,10/13/2006 ,60.0,Action,A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.,"John Cena, John Triton, Kelly Carlson, Kate Triton, Robert Patrick, Rome, Abigail Bianca, Angela, Christina Lindley, Chop Shop Girl, Anthony Ray Parker, Morgan, Manu Bennett, Bennett, Firass Dirani, Terrorist, Jerome Ehlers, Van Buren",The Marine, Released, English,15000000.0,22165608.0,US
Mine,04/11/2017 ,66.0,"War, Thriller","After a failed assassination attempt, a soldier finds himself stranded in the desert. Exposed to the elements, he must survive the dangers of the desert and battle the psychological and physical toll of the treacherous conditions.","Armie Hammer, Mike, Annabelle Wallis, Jenny, Tom Cullen, Tommy Madison, Geoff Bell, Mike's Father, Juliet Aubrey, Mike's Mother, Clint Dyer, Berber, Luka Peroš, Delta Force #1, David Kirk Traylor, Commander Barton (voice), Ines Pinar Mille, Berber Girl",Mine, Released, English,45177862.6,1600000.0,AU
Freaky,11/12/2020 ,66.0,"Comedy, Fantasy, Horror, Thriller","A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.","Vince Vaughn, The Butcher, Kathryn Newton, Millie Kessler, Celeste O'Connor, Nyla Chones, Misha Osherovich, Josh Detmer, Uriah Shelton, Booker Strode, Dana Drori, Charlene Kessler, Katie Finneran, Coral Kessler, Melissa Collazo, Ryler, Alan Ruck, Mr. Bernardi",Freaky, Released, English,6000000.0,18073433.0,AU
The Room,11/06/2019 ,64.0,"Horror, Drama, Mystery, Science Fiction","Kate and Matt discover that a part of their house can grant wishes. In the wake of two miscarriages, what they want most is a child.","Olga Kurylenko, Kate, Kevin Janssens, Matt, Francis Chapman, Shane, Joshua Wilson, Shane (Age 8), John Flanders, John Doe, Carole Weyers, Madeline Shaeffer, Michaël Kahya, M. Schaeffer, Marianne Bourg, Suzanne, Vince Drews, Chet",The Room, Released, English,39412225.8,44291.0,BE
The Circle,05/04/2017 ,55.0,"Drama, Thriller, Science Fiction","A young tech worker takes a job at a powerful Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity.","Emma Watson, Mae Holland, Tom Hanks, Eamon Bailey, John Boyega, Ty Lafitte, Karen Gillan, Annie Allerton, Ellar Coltrane, Mercer Regalado, Patton Oswalt, Tom Stenton, Glenne Headly, Bonnie Holland, Bill Paxton, Vinnie Holland, Poorna Jagannathan, Dr. Jessica Villalobos",The Circle, Released, English,18000000.0,40651864.0,AU
A Matter of Faith,10/17/2014 ,49.0,Drama,"A Christian girl, Rachel Whitaker (Jordan Trovillion) goes off to college for her freshman year and begins to be influenced by her popular Biology professor (Harry Anderson) who teaches that evolution is the answer to the origins of life. When Rachel’s father, Stephen Whitaker (Jay Pickett) senses something changing with his daughter, he begins to examine the situation and what he discovers catches him completely off guard. Now very concerned about Rachel drifting away from her Christian faith, he tries to do something about it!","Jordan Trovillion, Rachel Whitaker, Harry Anderson, Professor Kaman, Clarence Gilyard Jr., Professor Portland, Chandler Macocha, Evan Carlson, Barrett Carnahan, Tyler Mathis, Justin Michael Brandt, Jason, Stephanie Shemanski, Ally, Sarab Kamoo, Kimberly Whitaker, Scott Alan Smith, Phil Jamison",A Matter of Faith, Released, English,167400000.0,997517367.8,US
Gantz:O,10/14/2016 ,73.0,"Science Fiction, Action, Animation","Somewhere in Tokyo, there is a room. In that room is a black sphere. Periodically, people who should otherwise have died are transferred to the room. There, the sphere gives them special suits and weapons, and sends them out on a mission to kill aliens here on Earth. While these missions take place, the rest of the world is largely oblivious to them. These missions are lethal - few participants survive them. The sphere calls the shots, and it's not the slightest bit nice. Its name... Gantz.","Yuki Kaji, Kei Kurono (voice), Daisuke Ono, Masaru Kato (voice), Saori Hayami, Reika (voice), Mao Ichimichi, Anzu Yamasaki (voice), Masaya Onosaka, Susumu Kimura (voice), Kenjiro Tsuda, Sanpei Taira (voice), Shuichi Ikeda, Yoshikazu Suzuki (voice), Teruaki Ogawa, Tetsuo Hara (voice), Tomohiro Kaku, Joichiro Nishi (voice)", GANTZ:O, Released, Japanese,2910000.0,2238600.0,JP
Unbroken,01/14/2015 ,74.0,"Drama, War","A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.","Jack O'Connell, Louis Zamperini, Alex Russell, Pete Zamperini, Domhnall Gleeson, Russel Allen 'Phil' Phillips, Garrett Hedlund, John Fitzgerald, MIYAVI, Mutsuhiro 'The Bird' Watanabe, Finn Wittrock, Francis 'Mac' McNamara, Jai Courtney, Hugh 'Cup' Cuppernell, Maddalena Ischiale, Louise Zamperini, Vincenzo Amato, Anthony Zamperini",Unbroken, Released, English,65000000.0,163527824.0,AU
Iron Sky,05/10/2012 ,57.0,"Action, Comedy, Science Fiction","In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers.","Julia Dietze, Renate Richter, Christopher Kirby, James Washington, Götz Otto, Klaus Adler, Udo Kier, Wolfgang Kortzfleisch, Peta Sergeant, Vivian Wagner, Stephanie Paul, Jenna Bush, Tilo Prückner, Doctor Richter, Michael Cullen, Secretary of Defence, Kym Jackson, Julia McLennan",Iron Sky, Released, English,7500000.0,10109659.0,AU
Kangaroo Jack,04/10/2003 ,52.0,"Family, Comedy, Adventure, Crime","Two childhood friends — a New York hairstylist and a wanna-be musician — get mixed-up with the mob and are forced to deliver $50,000 to Australia, but things go all wrong when the money is lost to a wild kangaroo.","Jerry O'Connell, Charlie Carbone, Anthony Anderson, Louis Booker, Estella Warren, Jessie, Christopher Walken, Salvatore 'Sal' Maggio, Michael Shannon, Frankie Lombardo, Marton Csokas, Mr. Smith, Dyan Cannon, Anna Carbone, Frank Welker, Jack's Vocal Effects, John McNeill, Customs Officer",Kangaroo Jack, Released, English,60000000.0,90558582.0,AU
A Newly Wedded Couple's Sex Life,07/12/2018 ,0.0,Romance,"Jung-sik and Ji-young got married after a hot relationship, but it has cooled down. One day, Yoon-soo and Sun-young move in next door. They have been married for 5 years, but still look like they're madly in love. Ji-young talks to them about her problems and they decide to help her sex life.","Ji Hyun, , Lee Hyo-won, , Yoon Joo-I, , Min Do-yoon, ", 신혼부부의 성생활, Released, Korean,181600000.0,175269998.8,KR
Re:ZERO -Starting Life in Another World- Memory Snow,10/06/2018 ,74.0,"Animation, Adventure, Fantasy","Subaru and friends finally get a moment of peace, and Subaru goes on a certain secret mission that he must not let anyone find out about! However, even though Subaru is wearing a disguise, Petra and other children of the village immediately figure out who he is. Now that his mission was exposed within five seconds of it starting, what will happen with Subaru's ""date course"" with Emilia?","Yusuke Kobayashi, Natsuki Subaru (voice), Rie Takahashi, Emilia (voice), Inori Minase, Rem (voice), Yumi Uchiyama, Puck (voice), Rie Murakawa, Ram (voice), Satomi Arai, Beatrice (voice), Takehito Koyasu, Roswaal L. Mathers (voice)", Re:ゼロから始める異世界生活 Memory Snow, Released, Japanese,131600000.0,397057826.8,JP
Maybe I Do,01/27/2023 ,53.0,"Comedy, Romance","Michelle and Allen, who have reached the point in their relationship where they are considering next steps, decide to invite  their parents to finally meet and to offer some understanding of why marriage works. Except the parents already know each other quite well, which leads to some very distinct opinions about the value of marriage.","Diane Keaton, Grace, Susan Sarandon, Monica, Richard Gere, Howard, Emma Roberts, Michelle, Luke Bracey, Allen, William H. Macy, Sam, Michael Kostroff, Manny, James Monroe Iglehart, Minister, Mezi Atwood, Sophie",Maybe I Do, Released, English,7500000.0,4650308.4,US
Evolution,07/12/2001 ,61.0,"Comedy, Science Fiction, Action","A comedy that follows the chaos that ensues when a meteor hits the Earth carrying alien life forms that give new meaning to the term ""survival of the fittest."" David Duchovny, Orlando Jones, Seann William Scott, and Julianne Moore are the only people standing between the aliens and world domination... which could be bad news for the Earth.","David Duchovny, Dr. Ira Kane, Julianne Moore, Dr. Allison Reed, CDC, Orlando Jones, Prof. Harry Phineas Block, Seann William Scott, Wayne Grey, Ted Levine, General Russell Woodman, Ty Burrell, Colonel Flemming, Ethan Suplee, Deke, Michael Bower, Danny, Dan Aykroyd, Governor Lewis",Evolution, Released, English,80000000.0,98341932.0,AU
Not Okay,07/29/2022 ,64.0,"Comedy, Drama","An ambitious young woman, desperate for followers and fame, fakes a trip to Paris to up her social media presence. When a terrifying incident takes place in the real world and becomes part of her imaginary trip, her white lie becomes a moral quandary that offers her all the attention she’s wanted.","Zoey Deutch, Danni Sanders, Mia Isaac, Rowan Aldren, Dylan O'Brien, Colin, Nadia Alexander, Harper, Tia Dionne Hodge, Linda, Negin Farsad, Susan, Embeth Davidtz, Judith, Karan Soni, Kevin, Sarah Yarkin, Julie",Not Okay, Released, English,115500000.0,365470598.0,US
How It Ends,07/13/2018 ,53.0,"Science Fiction, Thriller, Mystery, Action, Adventure",A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,"Theo James, Will, Forest Whitaker, Tom, Kat Graham, Samantha, Kerry Bishé, Meg, Grace Dove, Ricki, Mark O'Brien, Jeremiah, Nicole Ari Parker, Paula Sutherland, Nancy Sorel, Sonographer, Anett Rumanoczky, Flight Attendant",How It Ends, Released, English,20000000.0,0.0,US
Planet Hulk,02/02/2010 ,70.0,"Science Fiction, Animation, Action","When the Hulk's presence on Earth becomes too great a risk, the Illuminati trick him to board a shuttle destined for a planet where he will be able to live in peace, and launch it into space. The Hulk's struggle to escape causes the shuttle to malfunction and crash land on the planet Sakaar, however, where he is sold into slavery and trained as a gladiator.","Rick D. Wasserman, Hulk (voice), Marc Worden, Iron Man (voice), Mark Hildreth, Red King (voice), Kevin Michael Richardson, Korg (voice), Sam Vincent, Miek (voice), Lisa Ann Beley, Caiera (voice), Advah Soudack, Elloe Kaifi (voice), Michael Kopsa, Lavin Skee (voice), Liam O'Brien, Hiroim (voice)",Planet Hulk, Released, English,29800000.0,7000000.0,US
Look Both Ways,08/17/2022 ,69.0,"Romance, Drama, Comedy","On the eve of her college graduation, Natalie's life diverges into two parallel realities: one in which she becomes pregnant and must navigate motherhood as a young adult in her Texas hometown, the other in which she moves to LA to pursue her career. In both journeys throughout her twenties, Natalie experiences life-changing love, devastating heartbreak and rediscovers herself.","Lili Reinhart, Natalie Bennett, Danny Ramirez, Gabe, David Corenswet, Jake, Aisha Dee, Cara, Andrea Savage, Tina Bennett, Luke Wilson, Rick Bennett, Nia Long, Lucy Galloway, Sahara Ale, Eliza / Jorts, Amanda Knapic, Miranda",Look Both Ways, Released, English,69600000.0,893429202.4,US
The Birds,08/06/2012 ,75.0,Horror,"Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay.","Tippi Hedren, Melanie Daniels, Rod Taylor, Mitch Brenner, Jessica Tandy, Lydia Brenner, Suzanne Pleshette, Annie Hayworth, Veronica Cartwright, Cathy Brenner, Ethel Griffies, Mrs. Bundy, Charles McGraw, Sebastian Sholes, Ruth McDevitt, Mrs. MacGruder, Lonny Chapman, Deke Carter",The Birds, Released, English,2500000.0,11500000.0,AU
Yu-Gi-Oh! The Movie,09/16/2004 ,61.0,"Animation, Fantasy, Action, Science Fiction","After the conclusion of the Battle City Tournament, deep below the sands of Egypt, an ancient evil has awakened. Anubis, who was defeated centuries ago by Yugi’s mysterious alter ego – the ancient Pharaoh – has returned for revenge. Wielding the power of the Eighth Millennium Item, Anubis is determined to destroy Yugi and take over the world.","Dan Green, Yugi Mutou / Yami Yugi (voice), Eric Stuart, Seto Kaiba (voice), Scottie Rayow, Anubis (voice), Wayne Grayson, Joey Wheeler (voice), Greg Abbey, Tristan Taylor (voice), Amy Birnbaum, Téa Gardner (voice), Tara Sands, Mokuba Kaiba (voice), Maddie Blaustein, Solomon Muto (voice), Darren Dunstan, Maximillion Pegasus (voice)",Yu-Gi-Oh! The Movie, Released, English,20000000.0,29170410.0,AU
